Model,Accuracy,Precision (weighted),Recall (weighted),F1-score (weighted)
K-Nearest Neighbours,1.0,1.0,1.0,1.0
Logistic Regression,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
